// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

WorkloadActual  67: 32 op, 731865200.00 ns, 22.8708 ms/op
WorkloadActual  68: 32 op, 772685500.00 ns, 24.1464 ms/op
WorkloadActual  69: 32 op, 764492500.00 ns, 23.8904 ms/op
WorkloadActual  70: 32 op, 710151100.00 ns, 22.1922 ms/op
WorkloadActual  71: 32 op, 721130100.00 ns, 22.5353 ms/op
WorkloadActual  72: 32 op, 727109300.00 ns, 22.7222 ms/op
WorkloadActual  73: 32 op, 729444400.00 ns, 22.7951 ms/op
WorkloadActual  74: 32 op, 787763700.00 ns, 24.6176 ms/op
WorkloadActual  75: 32 op, 775855100.00 ns, 24.2455 ms/op
WorkloadActual  76: 32 op, 695077500.00 ns, 21.7212 ms/op
WorkloadActual  77: 32 op, 697943400.00 ns, 21.8107 ms/op
WorkloadActual  78: 32 op, 804778800.00 ns, 25.1493 ms/op
WorkloadActual  79: 32 op, 752329900.00 ns, 23.5103 ms/op
WorkloadActual  80: 32 op, 808462300.00 ns, 25.2644 ms/op
WorkloadActual  81: 32 op, 750469400.00 ns, 23.4522 ms/op
WorkloadActual  82: 32 op, 794020700.00 ns, 24.8131 ms/op
WorkloadActual  83: 32 op, 796933300.00 ns, 24.9042 ms/op
WorkloadActual  84: 32 op, 772141700.00 ns, 24.1294 ms/op
WorkloadActual  85: 32 op, 745723400.00 ns, 23.3039 ms/op
WorkloadActual  86: 32 op, 761783800.00 ns, 23.8057 ms/op
WorkloadActual  87: 32 op, 850446700.00 ns, 26.5765 ms/op
WorkloadActual  88: 32 op, 710775800.00 ns, 22.2117 ms/op
WorkloadActual  89: 32 op, 703243200.00 ns, 21.9764 ms/op
WorkloadActual  90: 32 op, 735214300.00 ns, 22.9754 ms/op
WorkloadActual  91: 32 op, 792609400.00 ns, 24.7690 ms/op
WorkloadActual  92: 32 op, 819715600.00 ns, 25.6161 ms/op
WorkloadActual  93: 32 op, 695454400.00 ns, 21.7329 ms/op
WorkloadActual  94: 32 op, 861225200.00 ns, 26.9133 ms/op
WorkloadActual  95: 32 op, 730220400.00 ns, 22.8194 ms/op
WorkloadActual  96: 32 op, 730486400.00 ns, 22.8277 ms/op
WorkloadActual  97: 32 op, 730570800.00 ns, 22.8303 ms/op
WorkloadActual  98: 32 op, 817743700.00 ns, 25.5545 ms/op
WorkloadActual  99: 32 op, 703791000.00 ns, 21.9935 ms/op

WorkloadResult   1: 32 op, 811498600.00 ns, 25.3593 ms/op
WorkloadResult   2: 32 op, 714308600.00 ns, 22.3221 ms/op
WorkloadResult   3: 32 op, 753578700.00 ns, 23.5493 ms/op
WorkloadResult   4: 32 op, 763059100.00 ns, 23.8456 ms/op
WorkloadResult   5: 32 op, 715479400.00 ns, 22.3587 ms/op
WorkloadResult   6: 32 op, 857319000.00 ns, 26.7912 ms/op
WorkloadResult   7: 32 op, 739400800.00 ns, 23.1063 ms/op
WorkloadResult   8: 32 op, 821306700.00 ns, 25.6658 ms/op
WorkloadResult   9: 32 op, 762975200.00 ns, 23.8430 ms/op
WorkloadResult  10: 32 op, 710317600.00 ns, 22.1974 ms/op
WorkloadResult  11: 32 op, 757147800.00 ns, 23.6609 ms/op
WorkloadResult  12: 32 op, 786444600.00 ns, 24.5764 ms/op
WorkloadResult  13: 32 op, 736022000.00 ns, 23.0007 ms/op
WorkloadResult  14: 32 op, 760869100.00 ns, 23.7772 ms/op
WorkloadResult  15: 32 op, 728307500.00 ns, 22.7596 ms/op
WorkloadResult  16: 32 op, 755873500.00 ns, 23.6210 ms/op
WorkloadResult  17: 32 op, 743577300.00 ns, 23.2368 ms/op
WorkloadResult  18: 32 op, 742875800.00 ns, 23.2149 ms/op
WorkloadResult  19: 32 op, 758912300.00 ns, 23.7160 ms/op
WorkloadResult  20: 32 op, 846749100.00 ns, 26.4609 ms/op
WorkloadResult  21: 32 op, 744020500.00 ns, 23.2506 ms/op
WorkloadResult  22: 32 op, 805071700.00 ns, 25.1585 ms/op
WorkloadResult  23: 32 op, 698188900.00 ns, 21.8184 ms/op
WorkloadResult  24: 32 op, 773078100.00 ns, 24.1587 ms/op
WorkloadResult  25: 32 op, 706442900.00 ns, 22.0763 ms/op
WorkloadResult  26: 32 op, 779658400.00 ns, 24.3643 ms/op
WorkloadResult  27: 32 op, 811315400.00 ns, 25.3536 ms/op
WorkloadResult  28: 32 op, 700304900.00 ns, 21.8845 ms/op
WorkloadResult  29: 32 op, 729432000.00 ns, 22.7948 ms/op
